Title,Author,Scores,Votes,avg_rating,ratings
"Don Caselli (Caselli Family, #2)",Jahquel J.,144,2,4.74,10816
呪術廻戦 14 [Jujutsu Kaisen 14],Gege Akutami,143,3,4.65,15969
Last Resort (Joe Dillard #10),Scott Pratt,140,2,4.61,12481
"Naoki Urasawa's Monster, Volume 1 (Naoki Urasawa's Monster: Kanzenban, #1)",Naoki Urasawa,140,3,4.58,12806
"Midlife Fairy Hunter (Forty Proof, #2)",Shannon Mayer,138,3,4.57,13889
"Naruto, Vol. 43:  The Man with the Truth (Naruto, #43)",Masashi Kishimoto,138,3,4.59,60753
"Las legiones malditas (Publio Cornelio Escipión, #2)",Santiago Posteguillo,134,2,4.71,12308
The Choice: Embrace the Possible,Edith Eger,133,3,4.57,128368
"Death Rocks (DCI Ryan Mysteries, #21)",L.J. Ross,113,2,4.61,16129
All the Glimmering Stars,Mark T. Sullivan,111,2,4.61,15625
An Unfinished Love Story: A Personal History of the 1960s,Doris Kearns Goodwin,111,2,4.6,15947
"Silence Breaking (Storm and Silence, #4)",Robert Thier,110,2,4.59,10395
The Secret Midwife,Soraya M. Lane,109,2,4.58,13177
"Super Powereds: Year 3 (Super Powereds, #3)",Drew  Hayes,109,2,4.58,10435
"Genesis (Robert Hunter, #12)",Chris         Carter,108,2,4.58,11115
"One Day, Everyone Will Have Always Been Against This",Omar El Akkad,107,2,4.62,32910
"Severed Heart (Ravenhood Legacy, #2)",Kate  Stewart,103,2,4.68,15565
ギヴン 2 [Given 2],Natsuki Kizu,102,2,4.57,12934
A Killer of Influence (DCI Logan Crime Thrillers #20),J.D. Kirk,67,2,4.67,10367
"Midnight Black (Gray Man, #14)",Mark Greaney,65,2,4.63,11603
Losin' Control,Ladii Nesha,65,1,4.71,10083
Theo of Golden,Allen  Levi,63,1,4.64,42776
"Demon in White (The Sun Eater, #3)",Christopher Ruocchio,62,2,4.63,18398
